SOA Code,SOA Name,2015 Default Urban/Rural,Urban,mixed urban/rural,Rural,20 minutes   (Yes / No),30 minutes  (Yes / No),BELFAST,DERRY,ANTRIM,ARMAGH,BALLYMENA,BALLYMONEY,BANBRIDGE,BANGOR,CARRICKFERGUS,COLERAINE,COOKSTOWN,CRAIGAVON,DOWNPATRICK,DUNGANNON,ENNISKILLEN,HOLYWOOD,LARNE,LIMAVADY,LISBURN,LURGAN,NEWRY,NEWTOWNARDS,OMAGH,PORTADOWN,STRABANE
95XX01S3,Ballycrochan_3,Urban,5,-,-,Y,Y,20-30min,>60min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min
95XX02W1,Ballyholme,Urban,8,-,-,Y,Y,20-30min,>60min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min
95XX03S1,Ballymaconnell_1,Urban,4,-,-,Y,Y,20-30min,>60min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min
95XX03S2,Ballymaconnell_2,Urban,4,-,-,Y,Y,20-30min,>60min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min
95XX04S1,Ballymagee_1,Urban,4,-,-,Y,Y,20-30min,>60min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min
95XX04S2,Ballymagee_2,Urban,5,-,-,Y,Y,20-30min,>60min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min
95XX05W1,Bangor Castle,Urban,9,-,-,Y,Y,20-30min,>60min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,0-20min,>30min,>30min,>30min
95XX06S1,Bloomfield_1,Urban,6,-,-,Y,Y,20-30min,>60min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,0-20min,>30min,>30min,>30min
95XX06S2,Bloomfield_2,Urban,6,-,-,Y,Y,20-30min,>60min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min
95XX07S1,Broadway_1,Urban,5,-,-,Y,Y,20-30min,>60min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,0-20min,>30min,>30min,>30min
