dz11_code,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Housing_rank,Access_rank,Crime_rank,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Access_decile,Housing_decile,Crime_decile
S01003189,1960,1814,2405,3388,1049,15,6384,886,4,3,4,6,2,10,1,2
S01003190,361,534,242,175,685,272,6140,1983,1,1,1,1,2,10,1,4
S01003191,1159,809,972,2005,2163,396,6486,390,2,2,2,4,4,10,1,1
S01003192,1482,2192,1481,1721,683,3,6371,939,3,4,3,3,2,10,1,2
S01003193,3692,3879,4064,3567,3959,2674,1104,2679,6,6,7,6,7,2,5,5
S01003194,153,194,187,318,153,394,3616,953,1,1,1,1,1,6,1,2
S01003195,3107,2661,2871,2416,5205,2038,2404,3778,5,5,5,4,9,4,4,6
S01003196,4345,4720,4542,4286,4391,4942,927,3334,7,8,7,7,7,2,8,6
S01003197,3912,3414,3837,3521,3730,2985,2908,4060,7,6,6,6,6,5,5,7
S01003198,639,780,954,239,601,120,5588,613,1,2,2,1,1,9,1,1
S01003199,1521,1772,1875,353,2577,1001,4065,1786,3,3,3,1,4,7,2,3
S01003200,1475,1326,1413,1681,2144,34,6246,808,3,3,3,3,4,10,1,2
S01003201,1334,2615,1239,2576,102,200,4251,4250,3,5,2,4,1,7,1,7
S01003202,218,298,556,11,483,361,1889,1095,1,1,1,1,1,3,1,2
S01003203,1452,1595,1748,1093,1574,865,1409,3368,3,3,3,2,3,3,2,6
S01003204,801,962,1049,949,587,243,2496,789,2,2,2,2,1,4,1,2
S01003205,87,63,69,151,438,634,5513,855,1,1,1,1,1,9,1,2
S01003206,488,440,436,437,1352,273,6201,408,1,1,1,1,3,10,1,1
S01003207,2193,1947,2662,2927,1572,37,4656,1850,4,3,5,5,3,8,1,3
S01003208,38,37,82,63,120,333,3196,391,1,1,1,1,1,5,1,1
S01003209,2584,2635,2862,1892,3679,985,1174,5172,4,5,5,3,6,2,2,8
S01003210,4395,3390,5573,2632,5535,3604,2689,3079,7,6,9,5,9,5,6,5
S01003211,2508,2075,3447,2640,2022,166,5750,1018,4,4,6,5,4,9,1,2
S01003212,4126,3746,3775,4767,4186,4070,2126,3243,7,6,6,8,7,4,7,5
S01003213,897,688,616,1398,1836,580,4822,1324,2,2,1,3,3,8,1,3
S01003214,1019,1086,1152,803,1116,522,2098,2906,2,2,2,2,2,4,1,5
S01003215,881,883,1303,707,637,722,2945,1212,2,2,3,2,1,5,2,2
S01003216,1689,1363,1764,1054,2182,2006,4116,4248,3,3,3,2,4,7,4,7
S01003217,37,41,27,10,255,566,5748,767,1,1,1,1,1,9,1,2
S01003218,1712,1587,1950,944,1949,728,4508,3229,3,3,3,2,3,7,2,5
S01003219,2715,2882,2863,1875,2309,1186,3090,4385,5,5,5,3,4,5,2,7
S01003220,1796,1134,2096,1999,2552,241,6284,1522,3,2,4,4,4,10,1,3
S01003221,362,346,288,676,1060,355,3527,215,1,1,1,2,2,6,1,1
S01003222,2195,1905,2754,2364,2281,29,6279,659,4,3,5,4,4,10,1,2
S01003223,242,400,163,883,174,385,5416,194,1,1,1,2,1,9,1,1
S01003224,5151,5328,4393,4596,4603,3630,2890,5147,8,9,7,8,8,5,6,8
S01003225,155,137,176,123,477,434,4235,1936,1,1,1,1,1,7,1,3
S01003226,227,261,293,502,248,606,2918,451,1,1,1,1,1,5,1,1
S01003227,2274,1783,2725,3225,2133,39,6311,938,4,3,5,5,4,10,1,2
S01003228,813,746,636,865,1261,531,5514,1835,2,2,1,2,2,9,1,3
S01003229,5695,5705,6259,5871,5403,5587,1295,3860,9,9,10,10,9,2,9,6
S01003230,2234,2115,2936,1730,2059,1060,2598,2231,4,4,5,3,4,4,2,4
S01003231,865,1076,991,421,982,145,3158,2668,2,2,2,1,2,5,1,5
S01003232,84,256,55,13,553,212,5365,38,1,1,1,1,1,9,1,1
S01003233,5366,5645,4474,4828,5424,4958,2433,4819,9,9,7,8,9,4,8,8
S01003234,4765,3927,4323,3769,5127,4835,4333,3623,8,7,7,6,8,7,8,6
S01003235,2418,2154,2354,1172,3785,1076,5840,3523,4,4,4,2,6,9,2,6
S01003236,2246,1802,2158,3647,1947,59,6435,2186,4,3,4,6,3,10,1,4
S01003237,606,542,701,326,831,226,3804,3615,1,1,2,1,2,6,1,6
S01003238,1773,1714,1694,717,3167,514,5598,3468,3,3,3,2,5,9,1,6
S01003239,1291,1186,1528,785,1712,1016,5432,724,2,2,3,2,3,9,2,2
S01003240,3440,3136,3546,2138,3201,1440,5056,4355,6,5,6,4,5,8,3,7
S01003241,4391,3401,3728,3288,5237,2359,5384,6062,7,6,6,6,9,9,4,10
S01003242,1885,1987,1382,1954,3121,1567,2114,3348,3,4,3,4,5,4,3,6
S01003243,1841,1382,1968,902,3705,1540,5960,1842,3,3,4,2,6,10,3,3
S01003244,443,457,497,96,1135,600,4394,2396,1,1,1,1,2,7,1,4
S01003245,215,297,392,99,289,280,3813,892,1,1,1,1,1,6,1,2
S01003246,72,143,7,35,899,664,4439,833,1,1,1,1,2,7,2,2
S01003247,553,397,807,447,697,567,3999,1255,1,1,2,1,2,7,1,2
S01003248,544,550,648,265,736,602,6352,816,1,1,1,1,2,10,1,2
S01003249,1001,1038,1106,1572,870,142,3807,586,2,2,2,3,2,6,1,1
S01003250,1938,2126,2346,1508,2286,1021,2000,1211,3,4,4,3,4,4,2,2
S01003251,85,101,91,105,158,572,5759,1586,1,1,1,1,1,9,1,3
S01003252,4866,4096,4123,4394,4865,2676,4527,4943,8,7,7,7,8,7,5,8
