lsoa_code,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Housing_decile,Access_decile,Environment_decile,Crime_decile,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Housing_rank,Access_rank,Environment_rank,Crime_rank,IMD_score,Income_score,Employment_score,Education_score,Health_score,Crime_score,Housing_score,Access_score,Environment_score
W01000117,4,4,4,3,4,6,6,4,8,747,623,737,562,621,1052,1038,632,1422,21.81563826,25.18459994,21.45208434,25.25580563,27.4621492,6.688087825,13.48566384,13.78687964,24.86687452
W01000118,6,6,7,8,7,2,2,2,6,1006,1116,1247,1525,1330,314,246,253,1006,17.00838505,12.156794,9.654986131,8.200043031,5.105511009,14.49055644,40.11797908,45.28405011,44.69538763
W01000119,9,8,8,8,9,4,5,9,8,1564,1498,1448,1359,1572,713,856,1642,1428,8.234283675,5.509945658,6.278211786,4.418026576,7.712635642,6.592850666,22.189114,18.11051436,3.430760423
W01000121,7,8,9,9,7,2,1,5,5,1165,1446,1556,1710,1267,244,161,926,768,14.51299628,6.309482689,4.649764191,9.295888951,2.510646557,20.53375885,45.45504425,53.97893287,16.35012399
W01000122,6,8,8,9,7,2,1,5,8,1126,1439,1493,1631,1211,203,127,887,1419,15.13934484,6.419266879,5.585627705,10.31583704,3.58312323,6.735854697,49.27364159,58.64922406,17.3142461
W01000123,5,5,4,5,7,4,5,3,4,902,869,717,859,1310,707,892,401,641,18.92050639,17.77323308,22.06462388,8.542307098,18.03224006,24.55347847,22.37712177,17.1883586,34.85021098
W01000124,7,8,8,9,7,2,1,9,9,1251,1491,1397,1673,1293,366,122,1617,1632,13.37099511,5.615970391,7.089209577,8.837290537,3.006726359,3.569230282,36.82680765,59.42362294,3.778510821
W01000125,7,6,7,8,7,5,3,7,8,1293,1132,1242,1349,1213,864,447,1321,1347,12.68410411,11.83623587,9.74564334,10.27862069,7.879542962,7.913070266,17.90237198,32.4866119,8.35343189
W01000126,8,6,7,7,8,5,10,10,4,1466,1113,1192,1287,1380,917,1748,1792,704,9.965373694,12.21739923,10.67242858,7.366023882,8.942312247,22.47170512,16.56905365,2.012057799,1.447932084
W01000127,1,1,1,2,3,6,6,9,3,190,83,85,338,397,1011,999,1689,486,44.03155746,66.57057565,66.14470187,35.067698300000004,38.54029138,30.65696228,14.37917784,14.6473982,2.790891063
W01000128,7,5,5,6,9,5,9,10,3,1159,812,790,1022,1568,836,1654,1842,474,14.60236005,19.29023769,19.90359525,4.475742452,14.13602705,31.20458947,18.63926336,3.265689555,0.823238708
W01000129,4,3,4,5,6,9,5,3,4,711,390,619,881,1004,1560,855,517,723,22.7206188,35.45332101,25.32723245,14.53525934,17.4662263,21.87914307,4.591610525,18.1366651,29.2998077
W01000130,9,8,8,10,9,7,10,8,4,1688,1524,1433,1726,1540,1149,1774,1470,689,6.005277509,5.120363936,6.513786504,4.883860476,2.299395615,22.95054572,11.50046819,1.677040931,5.937009012
W01000131,9,8,9,9,5,9,6,10,8,1632,1381,1625,1681,880,1664,1114,1907,1527,7.001529178,7.349648137,3.666657606,17.49165426,2.898555533,5.075833898,3.129029752,12.19717974,0.035704751
W01000132,4,4,2,6,6,5,9,5,4,726,678,282,997,974,902,1706,918,650,22.27268248,23.30814185,42.405461270000004,15.21644328,14.69240728,24.24429539,16.93863201,2.563763864,16.54462497
W01000133,9,8,9,9,7,9,8,8,7,1694,1463,1544,1691,1240,1645,1408,1491,1247,5.867509213,6.045025472,4.825112652,9.782006515,2.764053509,9.654986131,3.389381506,6.911853559,5.615970391
W01000134,6,5,5,7,6,5,3,6,7,1000,796,858,1160,1099,895,535,991,1225,17.05450736,19.73468721,18.05830191,12.50235451,11.28578993,10.05657844,17.11315551,28.54703556,14.82796542
