dz11_code,Total_population,Working_age_population,Income_rate,Income_count,Employment_rate,Employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,no_qualifications,not_participating,University,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,Broadband,crime_count,crime_rate,overcrowded_count,nocentralheat_count,overcrowded_rate,nocentralheat_rate
S01009149,764,499,0.08,61,0.08,38,90,89.91050949,55.65947597,77.96648473,0.175416133,0.060606061,94.64531838,0.85143000000000002,5.75,61.86113363,0,0.155172,4.048958073,3.499793492,3.816849186,2.714508197,3.905294118,4.360336134,12.14084481,9.616573842,10.09700876,0.03868472,102.41605241605241,1340.5242462834085,86,14,0.107634543,0.017521902
S01009150,768,168,0.23,179,0.23,36,125,128.3194726,68.41304092,117.1800035,0.321243523,0,120.6021164,*,*,162.915005,0.111111111,0,3.704678715,2.831981258,3.304123159,2.712058824,3.522781124,4.67275,9.848801874,7.411840696,9.282396252,0,10.241605241605241,133.3542349167349,37,31,0.049531459,0.041499331
S01009151,865,448,0.09,81,0.05,22,100,114.3984721,56.78111716,83.3005562,0.19579646,0.125,112.0856327,0.85794999999999999,6.0869565217000003,76.75799064,0.085106383,0.11236,3.700511236,1.921682584,2.500848315,1.246254355,3.286558989,4.754979592,6.287758427,7.852477528,8.313050562,0,66.570434070434061,769.60039387785048,59,10,0.066292135,0.011235955
S01009152,641,361,0.17,108,0.14,51,135,298.9766845,64.29889812,131.1883544,0.214285714,0,134.8701883,0.75,*,85.743581,0.086956522,0.023256,3.575738381,1.808545727,2.447766117,1.363456376,2.926577961,4.634545455,6.598028486,8.516611694,8.309347826,0,24.579852579852577,383.46103868724771,83,36,0.124437781,0.053973013
S01009153,488,361,0.09,44,0.1,36,90,103.3025086,69.67619969,113.1723463,0.197505198,0.076923077,91.71313825,0.8125,4.8333333332999997,62.028898180000006,0,0.113636,1.983628178,1.905863347,3.403935381,3.105634921,1.782865466,5.224882353,6.606197034,8.189380297,4.652129237,0.013084112,193.56633906633905,3966.5233415233415,66,20,0.139830508,0.042372881
S01009154,967,553,0.05,49,0.05,25,65,61.80931078,32.39540504,116.3408574,0.220041322,0.032258065,79.2508164,0.83784000000000003,5.7,44.42911177,0,0.102362,1.640190329,1.9836985600000001,2.622734053,3.166434426,3.49279321,3.604234234,7.334025206,8.562227366,8.67994856,0.005847953,145.43079443079441,1503.9378948375843,87,4,0.096774194,0.004449388
S01009155,545,351,0.05,26,0.06,20,55,26.19792367,28.328636500000002,52.56568334,0.120781528,0.142857143,81.8204208,0.86620000000000008,6.1578947368000003,28.63385728,0.026315789,0.158537,2.74154321,1.615537919,2.613302469,1.700808081,3.172200176,4.067284483,6.40207231,7.967548501,7.355365961,0,10.241605241605241,187.91936223128883,14,3,0.025454545,0.005454545
S01009156,573,351,0.03,15,0.03,10,30,11.72339952,0,68.49754409,0.128070175,0,61.90590711,0.85046999999999995,6.2352941175999996,30.337224829999997,0.032786885,0.179487,3.086062956,2.028115876,3.565054745,2.935,4.176692518,3.781987179,8.255218978,10.40061131,9.882490876,0,3.0724815724815722,53.620969851336341,13,3,0.023722628,0.005474453
S01009157,878,538,0.15,129,0.09,48,100,76.31376321,34.39784595,70.5704336,0.189342404,0,100.7015372,0.78968000000000005,5.3714285714000001,104.1007729,0.023121387,0.085366,3.179409308,2.569656921,3.234818019,3.392480315,5.34896778,3.955264706,10.45706742,8.360590692,12.18557279,0,17.41072891072891,198.29987369850696,69,7,0.082338902,0.008353222
S01009158,621,390,0.13,81,0.1,39,100,55.51669968,44.04216607,65.34103758,0.201923077,0.115384615,83.07822964,0.79762,5.4,112.35526360000001,0.055555556,0.04,2.427244624,1.649233871,3.530425627,2.268149171,4.501030466,3.115458333,7.434623656,11.75626344,11.68994624,0,6.1449631449631443,98.952707648359805,15,7,0.02688172,0.012544803
